step_size,avg_squared_norm_gradients
7e-4,2.3518867603347833e-7
7e-4,2.2886247410021099e-7
7e-4,2.873888499375236e-7
7e-4,2.6545487098594833e-7
7e-4,2.3679256517337894e-7
7e-4,2.887895095520084e-7
7e-4,5.721803970387166e-7
7e-4,3.041969352551632e-7
7e-4,2.55956091421794e-7
7e-4,1.6647196054850137e-7
7e-4,2.4592057134971886e-7
7e-4,2.658624053237209e-7
8e-4,4.893858748783231e-7
8e-4,4.2847333235999466e-7
8e-4,2.1627065869947634e-7
8e-4,2.1497929864603786e-7
8e-4,3.2524997650457503e-7
8e-4,2.715526046342139e-7
8e-4,5.138082511833156e-7
8e-4,3.289163180747086e-7
8e-4,6.361768745148784e-7
8e-4,3.8544913841699707e-7
8e-4,6.031228875486979e-7
8e-4,6.625468369705346e-7
8e-4,2.227800075088974e-7
8e-4,3.452156568831318e-7
8e-4,5.696652534196526e-7
8e-4,3.5013033094190387e-7
8e-4,4.977174750251833e-7
8e-4,6.17632650660956e-7
8e-4,2.9531145300983516e-7
8e-4,2.455329868331783e-7
9e-4,2.974045080973061e-7
9e-4,2.903014421086425e-7
9e-4,4.041774858364988e-7
9e-4,3.7588812701668437e-7
9e-4,3.8741538175048145e-7
9e-4,3.745413811548322e-7
9e-4,3.760292747884364e-7
9e-4,6.03622289149186e-7
9e-4,5.989191713065148e-7
9e-4,3.3973828080616404e-7
9e-4,6.744124080212781e-7
9e-4,2.6720529654132484e-7
9e-4,3.6370944260492404e-7
9e-4,5.254896459767622e-7
9e-4,4.76949117667047e-7
9e-4,4.152012081957442e-7
9e-4,3.2783287454911657e-7
9e-4,6.09176833850474e-7
9e-4,7.12876802579269e-7
9e-4,4.987808774731188e-7
0.001,4.948946429880862e-7
0.001,9.65133013572957e-7
0.001,1.428789960285215e-6
0.001,7.037656220494645e-7
0.001,2.7374780504167974e-7
0.001,4.951723651455354e-7
0.001,7.445580308509392e-7
0.001,5.828474017324226e-7
0.001,4.792864012291176e-7
0.001,5.690982872804303e-7
0.001,1.144735177359261e-6
0.001,6.374861891804547e-7
0.001,1.04651758099538e-6
0.001,1.1691699785594997e-6
0.001,8.283681683273869e-7
0.001,2.6512814833630215e-7
0.001,3.829051009107095e-7
0.001,6.014495765205889e-7
0.001,3.154413385528206e-7
0.001,8.762939675585576e-7
