n_hidden,width,cost
1,1,0.6827539205551147
1,1,0.59526824951171875
1,1,0.6469110250473022
1,1,0.6829180121421814
1,1,0.5952433943748474
1,1,0.6827539801597595
1,1,0.6827538013458252
1,1,0.5952434539794922
1,1,0.6469110250473022
1,1,0.6827539801597595
1,1,0.5952433943748474
1,1,0.59526824951171875
1,1,0.6829076409339905
1,1,0.6486342549324036
1,1,0.6827539205551147
1,1,0.5952433943748474
1,1,0.6827539801597595
1,1,0.6469110250473022
1,1,0.5952434539794922
1,1,0.6829216480255127
1,1,0.5952433943748474
1,1,0.595268189907074
1,1,0.59526824951171875
1,1,0.6486342549324036
1,1,0.6469110250473022
1,1,0.6469110250473022
1,1,0.59526824951171875
1,1,0.6486342549324036
1,1,0.5952433943748474
1,1,0.6827539801597595
1,1,0.6486342549324036
1,1,0.5952433943748474
1,1,0.6829128861427307
1,1,0.6469110250473022
1,1,0.6829188466072083
1,1,0.6469110250473022
1,1,0.59526824951171875
1,1,0.59526824951171875
1,1,0.6827539205551147
1,1,0.595268189907074
1,1,0.6827539205551147
1,1,0.6827539205551147
1,1,0.5952433943748474
1,1,0.6469110250473022
1,1,0.59526824951171875
1,1,0.6827539205551147
1,1,0.6827539205551147
1,1,0.5952434539794922
1,1,0.6827676892280579
1,1,0.6469109058380127
1,2,0.5699410438537598
1,2,0.4700528085231781
1,2,0.43891867995262146
1,2,0.5788034200668335
1,2,0.43350446224212646
1,2,0.40275564789772034
1,2,0.39382433891296387
1,2,0.4044630825519562
1,2,0.43889546394348145
1,2,0.4335043728351593
1,2,0.5520594716072083
1,2,0.4044649004936218
1,2,0.4388955235481262
1,2,0.42976200580596924
1,2,0.4916590750217438
1,2,0.5395254492759705
1,2,0.6209007501602173
1,2,0.4298884868621826
1,2,0.4086686372756958
1,2,0.5376181602478027
1,2,0.5173712372779846
1,2,0.4338276982307434
1,2,0.45782917737960815
1,2,0.39039501547813416
1,2,0.45793402194976807
1,2,0.4488306939601898
1,2,0.5512657761573792
1,2,0.3983291983604431
1,2,0.3945969343185425
1,2,0.4194773733615875
1,2,0.5781623721122742
1,2,0.43350446224212646
1,2,0.45177945494651794
1,2,0.4194762110710144
1,2,0.404461145401001
1,2,0.4735199213027954
1,2,0.43383416533470154
1,2,0.4086686074733734
1,2,0.42585211992263794
1,2,0.4430724084377289
1,2,0.5755394101142883
1,2,0.6277783513069153
1,2,0.5755393505096436
1,2,0.5781596899032593
1,2,0.4358501732349396
1,2,0.560465395450592
1,2,0.40680328011512756
1,2,0.39084526896476746
1,2,0.6827539205551147
1,2,0.43889549374580383
1,3,0.35911640524864197
1,3,0.3060095012187958
1,3,0.25592538714408875
1,3,0.402274489402771
1,3,0.33126160502433777
1,3,0.2952195405960083
1,3,0.27745118737220764
1,3,0.2237105369567871
1,3,0.38455241918563843
1,3,0.2940841615200043
1,3,0.4096915125846863
1,3,0.2923029959201813
1,3,0.33504801988601685
1,3,0.24955879151821136
1,3,0.2636631429195404
1,3,0.2617011070251465
1,3,0.2739544212818146
1,3,0.2581954002380371
1,3,0.26448842883110046
1,3,0.3589981198310852
1,3,0.3436320126056671
1,3,0.278166264295578
1,3,0.23744812607765198
1,3,0.27816230058670044
1,3,0.25660163164138794
1,3,0.5446794629096985
1,3,0.28375712037086487
1,3,0.3934335708618164
1,3,0.30042943358421326
1,3,0.27606266736984253
1,3,0.28277572989463806
1,3,0.24374710023403168
1,3,0.5124948024749756
1,3,0.24237258732318878
1,3,0.4578368067741394
1,3,0.25098735094070435
1,3,0.22793973982334137
1,3,0.29048192501068115
1,3,0.38652706146240234
1,3,0.24777717888355255
1,3,0.4662553071975708
1,3,0.5136471390724182
1,3,0.2196757197380066
1,3,0.4334961175918579
1,3,0.37898212671279907
1,3,0.3740295171737671
1,3,0.2335405796766281
1,3,0.4050241708755493
1,3,0.5249301791191101
1,3,0.3097270131111145
1,4,0.2981434762477875
1,4,0.240534707903862
1,4,0.2664439082145691
1,4,0.29529792070388794
1,4,0.2598477602005005
1,4,0.26015836000442505
1,4,0.3152686059474945
1,4,0.30173781514167786
1,4,0.24320358037948608
1,4,0.23103521764278412
1,4,0.2890893816947937
1,4,0.23442846536636353
1,4,0.24219907820224762
1,4,0.2800952196121216
1,4,0.22242340445518494
1,4,0.25521597266197205
1,4,0.22772398591041565
1,4,0.19709829986095428
1,4,0.21776773035526276
1,4,0.258672833442688
1,4,0.22370034456253052
1,4,0.26128217577934265
1,4,0.2492600679397583
1,4,0.2478010058403015
1,4,0.2571185231208801
1,4,0.22915984690189362
1,4,0.29095524549484253
1,4,0.28138646483421326
1,4,0.25866997241973877
1,4,0.2510948181152344
1,4,0.28715813159942627
1,4,0.2128644585609436
1,4,0.2966507077217102
1,4,0.2182662934064865
1,4,0.3791114389896393
1,4,0.3050057291984558
1,4,0.18159864842891693
1,4,0.24446040391921997
1,4,0.20359793305397034
1,4,0.22159847617149353
1,4,0.2738340198993683
1,4,0.23706606030464172
1,4,0.2191123217344284
1,4,0.25849080085754395
1,4,0.2718331813812256
1,4,0.3123871684074402
1,4,0.18950504064559937
1,4,0.2533336877822876
1,4,0.3996068239212036
1,4,0.2044961303472519
1,5,0.2860811948776245
1,5,0.251453697681427
1,5,0.17511086165905
1,5,0.1800457388162613
1,5,0.24274156987667084
1,5,0.2568275034427643
1,5,0.20216259360313416
1,5,0.183143749833107
1,5,0.1782120317220688
1,5,0.20792561769485474
1,5,0.21680764853954315
1,5,0.19382967054843903
1,5,0.19219736754894257
1,5,0.19060075283050537
1,5,0.1855371594429016
1,5,0.2225312739610672
1,5,0.2279498428106308
1,5,0.180440291762352
1,5,0.1794496476650238
1,5,0.21747151017189026
1,5,0.19246244430541992
1,5,0.24150502681732178
1,5,0.24204111099243164
1,5,0.23082400858402252
1,5,0.23122256994247437
1,5,0.21495069563388824
1,5,0.20850472152233124
1,5,0.2061065286397934
1,5,0.21195916831493378
1,5,0.16045284271240234
1,5,0.25413191318511963
1,5,0.22910034656524658
1,5,0.2612170875072479
1,5,0.18903328478336334
1,5,0.22793447971343994
1,5,0.2439355105161667
1,5,0.2490641474723816
1,5,0.22674977779388428
1,5,0.1969127506017685
1,5,0.23008599877357483
1,5,0.24005235731601715
1,5,0.23003798723220825
1,5,0.1378292441368103
1,5,0.17004381120204926
1,5,0.2171739935874939
1,5,0.2659374475479126
1,5,0.18389646708965302
1,5,0.18811294436454773
1,5,0.30290156602859497
1,5,0.18461912870407104
1,10,0.11367872357368469
1,10,0.07076944410800934
1,10,0.1114945039153099
1,10,0.2094641923904419
1,10,0.11782540380954742
1,10,0.13110962510108948
1,10,0.04629921913146973
1,10,0.08183472603559494
1,10,0.116312175989151
1,10,0.05993961915373802
1,10,0.10237789154052734
1,10,0.10194123536348343
1,10,0.07575103640556335
1,10,0.07700265198945999
1,10,0.11514785140752792
1,10,0.05064129829406738
1,10,0.13724397122859955
1,10,0.09101609885692596
1,10,0.07721427083015442
1,10,0.13265645503997803
1,10,0.056422486901283264
1,10,0.10435006022453308
1,10,0.12524262070655823
1,10,0.1634311079978943
1,10,0.10595536977052689
1,10,0.032038744539022446
1,10,0.12286888062953949
1,10,0.04489464685320854
1,10,0.12384778261184692
1,10,0.1476818025112152
1,10,0.1619202047586441
1,10,0.05391179025173187
1,10,0.13627783954143524
1,10,0.08200513571500778
1,10,0.15816271305084229
1,10,0.17326219379901886
1,10,0.127980038523674
1,10,0.08094267547130585
1,10,0.07157360762357712
1,10,0.046668246388435364
1,10,0.10384341329336166
1,10,0.1155179813504219
1,10,0.09151294827461243
1,10,0.07129575312137604
1,10,0.06496520340442657
1,10,0.1483105570077896
1,10,0.04197453334927559
1,10,0.1725817173719406
1,10,0.16618488729000092
1,10,0.11704393476247787
1,15,0.03937799111008644
1,15,0.02101350761950016
1,15,0.007809440605342388
1,15,0.07769197225570679
1,15,0.0635952353477478
1,15,0.07393396645784378
1,15,6.159216281957924e-4
1,15,3.737393126357347e-4
1,15,0.05140615999698639
1,15,0.05262243375182152
1,15,0.049944039434194565
1,15,0.09803944826126099
1,15,0.012633920647203922
1,15,4.873486468568444e-4
1,15,0.038053855299949646
1,15,0.04693044722080231
1,15,6.429657514672726e-5
1,15,2.845276139851194e-5
1,15,0.023169144988059998
1,15,0.03736279159784317
1,15,1.1401665688026696e-4
1,15,0.07779474556446075
1,15,0.019041024148464203
1,15,0.03702322393655777
1,15,0.0014579168055206537
1,15,0.044429711997509
1,15,0.02155386470258236
1,15,0.006273480132222176
1,15,1.9389981753192842e-4
1,15,0.023700881749391556
1,15,0.04516129568219185
1,15,3.526158252498135e-5
1,15,0.030790820717811584
1,15,0.00835238117724657
1,15,0.039797455072402954
1,15,0.09367956221103668
1,15,0.018824493512511253
1,15,0.10783117264509201
1,15,0.03896111622452736
1,15,0.04975491389632225
1,15,0.06504610925912857
1,15,0.06625790894031525
1,15,0.03182431310415268
1,15,0.025565847754478455
1,15,0.02547970600426197
1,15,0.06632902473211288
1,15,0.05296364426612854
1,15,0.04027816653251648
1,15,0.03766191005706787
1,15,0.023556552827358246
1,20,0.04390018805861473
1,20,1.5788264136062935e-5
1,20,3.364750955370255e-5
1,20,1.4672298857476562e-4
1,20,1.4153189113130793e-5
1,20,4.70694612886291e-5
1,20,0.023521266877651215
1,20,5.301705095916986e-4
1,20,0.025962963700294495
1,20,6.199421477504075e-5
1,20,1.0960569488815963e-4
1,20,1.3437721645459533e-4
1,20,5.063974458607845e-5
1,20,1.214756557601504e-4
1,20,8.792788139544427e-5
1,20,0.02130235731601715
1,20,3.6615110730053857e-6
1,20,1.4643592294305563e-6
1,20,2.6002204322139733e-5
1,20,2.506599994376302e-4
1,20,0.024864662438631058
1,20,1.2019128917017952e-5
1,20,0.01150258257985115
1,20,6.326459697447717e-5
1,20,2.6250168957631104e-5
1,20,5.194357072468847e-5
1,20,0.022827981039881706
1,20,9.03235559235327e-5
1,20,1.6792310634627938e-4
1,20,4.2110383219551295e-5
1,20,3.638233101810329e-5
1,20,1.1621060366451275e-5
1,20,4.197648195258807e-6
1,20,7.367474609054625e-5
1,20,4.441449164005462e-6
1,20,0.02367948554456234
1,20,0.014146366156637669
1,20,2.3007160052657127e-5
1,20,0.04016499221324921
1,20,0.05461832880973816
1,20,4.876008097198792e-5
1,20,2.447632432449609e-4
1,20,1.7272852710448205e-4
1,20,0.021046023815870285
1,20,2.539140587032307e-5
1,20,0.04623548686504364
1,20,1.109020013245754e-5
1,20,2.404652514087502e-5
1,20,2.4340297386515886e-5
1,20,8.36882391013205e-4
1,30,1.2826756119466154e-6
1,30,9.682444215286523e-6
1,30,1.2779404414686724e-6
1,30,2.4197372113121673e-5
1,30,1.299436826229794e-5
1,30,5.562897058553062e-6
1,30,2.941010461654514e-5
1,30,9.250140351468872e-7
1,30,2.691817353479564e-4
1,30,2.071566918004919e-8
1,30,3.829719571513124e-5
1,30,5.321545813785633e-6
1,30,1.1198334277651156e-6
1,30,3.939968792110449e-6
1,30,2.906873414758593e-4
1,30,4.952685685566394e-6
1,30,1.076197368092835e-4
1,30,9.492952813161537e-6
1,30,6.599360631298623e-7
1,30,1.1936831469938625e-5
1,30,3.470315732556628e-7
1,30,2.5054332581930794e-5
1,30,4.90622733195778e-6
1,30,2.634228394526872e-6
1,30,1.3480481356964447e-5
1,30,1.2646130926441401e-5
1,30,1.1806217798948637e-6
1,30,7.540168007835746e-5
1,30,8.252157567767426e-5
1,30,1.4968114783187048e-6
1,30,7.470789000763034e-7
1,30,2.1952936890556884e-7
1,30,4.662486389861442e-5
1,30,1.2389600669848733e-5
1,30,2.716661947488319e-5
1,30,0.02269911579787731
1,30,0.022721214219927788
1,30,5.525153596863674e-7
1,30,1.1750371413654648e-5
1,30,0.02413726970553398
1,30,4.494325185078196e-5
1,30,3.642697720351862e-6
1,30,6.336989463306963e-5
1,30,8.750173947191797e-6
1,30,4.596515168486803e-8
1,30,9.89417458185926e-6
1,30,9.533659408589301e-7
1,30,0.021275591105222702
1,30,5.8157202147413045e-5
1,30,1.1654952686512843e-5
1,40,3.983559224707278e-7
1,40,3.165184125464293e-6
1,40,8.10662015737762e-7
1,40,4.235223059367854e-6
1,40,2.5259328140236903e-6
1,40,0.021270522847771645
1,40,2.6722034363046987e-6
1,40,3.1010113161755726e-6
1,40,6.521829345729202e-5
1,40,3.2870220820768736e-6
1,40,5.827681661685347e-7
1,40,6.191925422172062e-6
1,40,6.264269177336246e-5
1,40,7.570181423943723e-7
1,40,8.850755875755567e-6
1,40,2.7357822604545667e-11
1,40,5.020121989218751e-6
1,40,1.627357093525461e-8
1,40,7.739549801044632e-6
1,40,1.1280577183470086e-7
1,40,2.0192828742437996e-6
1,40,3.947110371882445e-7
1,40,3.632353298144153e-7
1,40,4.684860925863177e-7
1,40,5.222663457971066e-5
1,40,6.234494321688544e-6
1,40,1.0958481652778573e-5
1,40,3.8917917777325783e-7
1,40,3.1245409815028324e-8
1,40,8.635338599560782e-5
1,40,1.3046215485701396e-7
1,40,2.303497410593991e-7
1,40,1.7797338713876343e-8
1,40,9.496241091255797e-7
1,40,7.590645623167802e-8
